tree_id,name,source_prefab_name,source_prefab_index,source_prefab_path,x,y,z,rotation_y,scale_x,scale_y,scale_z,height,radius,bbox_size_x,bbox_size_y,bbox_size_z,renderer_count,collider_count
368,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,463.6699,107.4155,330.1020,213.1174,1.0000,1.0000,1.0000,23.5764,12.7230,25.2237,23.5764,25.4460,1,1
369,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,632.1158,119.4667,415.1334,141.6493,1.0000,1.0000,1.0000,22.8586,12.1941,24.3883,22.8586,23.9204,1,1
370,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,59.9311,123.9940,102.3804,254.6897,1.0000,1.0000,1.0000,20.4645,12.5496,25.0992,20.4645,23.4595,1,1
371,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,933.2394,82.6244,287.8658,39.2414,1.0000,1.0000,1.0000,22.4601,12.8114,25.6229,22.4601,24.9298,1,1
372,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,802.0395,130.1173,416.3206,57.9252,1.0000,1.0000,1.0000,20.4645,13.8053,27.6105,20.4645,26.8701,1,1
373,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,683.3953,134.7427,600.1808,155.5869,1.0000,1.0000,1.0000,22.4601,12.4983,24.9967,22.4601,22.5678,1,1
374,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,290.0086,108.2284,416.0767,318.5465,1.0000,1.0000,1.0000,23.5764,12.9367,25.8067,23.5764,25.8734,1,1
375,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,623.8722,124.3871,194.4651,112.5894,1.0000,1.0000,1.0000,22.4601,12.4013,22.1692,22.4601,24.8026,1,1
376,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,25.8424,133.7130,523.1559,192.5141,1.0000,1.0000,1.0000,22.4601,11.6422,23.2843,22.4601,19.5743,1,1
377,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,649.6844,117.2336,211.6667,120.5321,1.0000,1.0000,1.0000,22.8586,12.0257,23.0420,22.8586,24.0515,1,1
378,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,322.1607,149.9492,720.5156,201.1499,1.0000,1.0000,1.0000,20.4645,13.1156,24.8925,20.4645,26.2311,1,1
379,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,122.5528,122.0646,705.0560,157.4701,1.0000,1.0000,1.0000,22.4601,12.3979,24.7958,22.4601,22.1558,1,1
380,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,359.3274,138.7782,176.6815,328.7120,1.0000,1.0000,1.0000,20.4645,13.7721,26.7595,20.4645,27.5443,1,1
381,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,182.1935,117.8490,282.0154,294.7465,1.0000,1.0000,1.0000,23.5764,12.2378,24.4757,23.5764,24.1021,1,1
382,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,204.5731,106.9675,834.2205,105.7424,1.0000,1.0000,1.0000,20.4645,12.5960,25.1921,20.4645,23.5741,1,1
383,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,148.6945,123.6159,782.4785,60.5243,1.0000,1.0000,1.0000,22.8586,11.9857,22.8900,22.8586,23.9714,1,1
384,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,694.5642,150.0138,804.5045,262.5482,1.0000,1.0000,1.0000,22.4601,11.1233,18.0369,22.4601,22.2466,1,1
385,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,603.6644,136.7731,826.8334,267.0951,1.0000,1.0000,1.0000,22.4601,10.5832,16.5357,22.4601,21.1663,1,1
386,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,743.8607,115.1074,272.5940,337.7585,1.0000,1.0000,1.0000,22.4601,12.3814,24.7627,22.4601,22.0906,1,1
387,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,700.4486,157.6237,771.2264,112.1370,1.0000,1.0000,1.0000,22.8586,11.5962,21.6225,22.8586,23.1923,1,1
388,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,411.7074,102.4254,708.3378,244.5052,1.0000,1.0000,1.0000,22.4601,12.5499,22.7934,22.4601,25.0998,1,1
389,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,442.1980,118.7465,878.4400,180.2885,1.0000,1.0000,1.0000,23.5764,9.3892,18.0190,23.5764,18.7784,1,1
390,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,330.8425,143.0647,132.8930,309.3962,1.0000,1.0000,1.0000,22.4601,12.8102,24.9459,22.4601,25.6204,1,1
391,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,779.0357,115.8495,732.8157,77.4989,1.0000,1.0000,1.0000,22.4601,11.6410,19.5706,22.4601,23.2819,1,1
392,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,600.5592,124.1439,251.4097,130.1405,1.0000,1.0000,1.0000,22.8586,12.2008,24.0594,22.8586,24.4017,1,1
393,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,486.3405,98.7214,143.2659,119.0677,1.0000,1.0000,1.0000,22.4601,12.6884,23.4806,22.4601,25.3767,1,1
394,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,602.4598,104.5750,537.1796,210.3242,1.0000,1.0000,1.0000,23.5764,12.5909,24.9083,23.5764,25.1817,1,1
395,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,412.9611,125.6158,210.8185,113.5533,1.0000,1.0000,1.0000,20.4645,13.3092,26.6185,20.4645,25.4080,1,1
396,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,809.3794,88.6104,687.5944,88.3217,1.0000,1.0000,1.0000,22.8586,9.5388,16.3056,22.8586,19.0777,1,1
397,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,958.7584,106.4545,246.6772,157.8172,1.0000,1.0000,1.0000,20.4645,13.2016,25.1195,20.4645,26.4033,1,1
