Time(ms),Voltage(V),Current(mA),Power(mW),Mode
6552,5.04,103.70,522.23,2
6564,5.03,104.10,523.83,2
6577,5.03,101.10,508.74,2
6589,5.04,104.20,525.17,2
6601,5.03,104.50,525.84,2
6614,5.03,105.60,531.38,2
6626,5.04,99.50,501.08,2
6639,5.03,104.50,525.84,2
6651,5.04,105.10,529.28,2
6663,5.03,103.90,522.82,2
6676,5.04,99.10,499.46,2
6688,5.04,103.50,521.64,2
6701,5.03,104.30,524.84,2
6714,5.03,103.60,521.32,2
6726,5.04,102.90,518.62,2
6739,5.04,103.30,520.22,2
6751,5.03,104.40,525.34,2
6764,5.03,99.50,500.68,2
6776,5.04,99.20,499.97,2
6788,5.03,104.30,524.84,2
6801,5.03,104.10,523.83,2
6813,5.04,100.20,505.01,2
6826,5.04,102.60,517.10,2
6838,5.03,104.50,525.84,2
6850,5.03,105.20,529.37,2
6863,5.04,99.40,500.98,2
6875,5.04,104.20,524.75,2
6888,5.03,104.20,524.33,2
6900,5.04,103.70,522.23,2
6912,5.04,100.50,506.12,2
6925,5.03,104.80,527.35,2
6937,5.04,104.00,523.74,2
6950,5.03,103.80,522.32,2
6962,5.04,100.30,505.11,2
6974,5.03,105.00,528.36,2
6987,5.04,103.90,523.24,2
6999,5.04,100.10,504.10,2
7012,5.04,99.30,500.87,2
7024,5.03,104.90,527.86,2
7036,5.04,103.80,522.74,2
7049,5.04,104.70,527.69,2
7061,5.04,101.90,513.17,2
7074,5.04,104.00,523.74,2
7086,5.04,104.10,524.25,2
7099,5.03,99.30,499.68,2
7111,5.04,103.60,521.73,2
7123,5.03,103.80,522.32,2
7136,5.03,104.70,526.85,2
7148,5.04,99.10,499.46,2
7160,5.03,102.40,515.28,2
7173,5.03,105.20,529.37,2
7185,5.04,105.00,528.78,2
7198,5.04,99.00,498.96,2
7210,5.04,104.20,524.75,2
7222,5.04,104.10,524.25,2
7235,5.04,103.80,522.74,2
7247,5.04,99.70,502.49,2
7259,5.03,105.30,529.87,2
7272,5.04,103.80,522.74,2
7284,5.03,104.60,526.35,2
7297,5.04,99.00,498.96,2
7309,5.03,104.40,525.34,2
7321,5.03,103.50,520.81,2
7334,5.03,100.50,505.72,2
7346,5.04,100.00,504.00,2
7359,5.03,103.90,522.82,2
7371,5.04,103.80,522.74,2
7384,5.04,99.10,499.46,2
7396,5.06,88.00,445.28,6
7408,5.05,91.90,464.28,6
7420,5.05,91.70,462.90,6
7433,5.05,87.90,443.72,6
7445,5.05,87.90,444.07,6
7457,5.05,91.40,461.75,6
7470,5.05,91.60,462.40,6
7482,5.05,86.90,439.02,6
7494,5.06,89.40,452.01,6
7507,5.05,91.20,460.74,6
7519,5.05,91.70,462.90,6
7531,5.05,88.10,444.73,6
7544,5.05,91.70,463.27,6
7556,5.05,92.50,467.31,6
7568,5.05,92.70,468.32,6
7581,5.06,87.00,439.87,6
7593,5.06,90.40,457.06,6
7605,5.05,91.40,461.75,6
7617,5.05,91.60,462.40,6
7630,5.05,87.80,443.57,6
7642,5.05,87.60,442.56,6
7654,5.05,91.50,462.26,6
7667,5.05,91.50,462.26,6
7679,5.06,86.50,437.34,6
7691,5.06,91.80,464.14,6
7704,5.05,91.30,460.88,6
7716,5.05,91.50,462.26,6
7728,5.06,86.80,438.86,6
7741,5.05,87.50,441.70,6
7753,5.05,91.60,462.40,6
7765,5.05,92.40,466.44,6
7777,5.06,87.70,443.41,6
7790,5.06,91.40,462.12,6
7802,5.05,93.60,472.87,6
7814,5.05,91.50,461.89,6
7827,5.06,86.60,437.85,6
7839,5.06,88.20,445.94,6
7851,5.05,92.20,465.43,6
7864,5.05,92.30,466.30,6
7876,5.05,88.50,447.10,6
7888,5.06,91.60,463.13,6
7901,5.05,92.50,467.31,6
7913,5.05,91.40,461.39,6
7925,5.05,86.50,437.00,6
7937,5.05,89.00,449.63,6
7950,5.05,91.50,462.26,6
7962,5.05,92.50,467.31,6
7974,5.06,86.50,437.34,6
7987,5.06,91.50,462.62,6
7999,5.05,91.60,462.76,6
8011,5.05,92.50,466.94,6
8024,5.06,86.70,438.36,6
8036,5.06,91.30,461.61,6
8048,5.05,92.30,466.30,6
8061,5.05,91.60,462.76,6
8073,5.06,86.20,435.83,6
8085,5.05,91.60,462.76,6
8098,5.05,91.60,462.40,6
8110,5.05,90.50,456.84,6
8122,5.05,86.40,436.49,6
8134,5.05,90.60,457.35,6
8147,5.05,91.50,461.89,6
8159,5.05,91.10,460.24,6
8171,5.06,87.40,441.89,6
8184,5.05,91.40,461.75,6
8196,5.05,91.50,462.26,6
8208,5.05,92.30,465.93,6
8221,5.06,86.30,436.33,6
8233,5.06,91.60,463.13,6
8245,5.05,93.00,469.84,6
8258,5.05,91.60,462.76,6
8270,5.06,86.60,437.85,6
8282,5.05,91.60,462.40,6
8294,5.05,91.80,463.77,6
8307,5.05,91.60,462.40,6
8319,5.06,87.00,439.87,6
8331,5.06,91.70,463.64,6
8344,5.05,91.80,463.77,6
8356,5.05,92.70,467.95,6
8368,5.06,86.60,437.85,6
8381,5.05,91.40,461.39,6
8393,5.05,91.70,462.90,6
8405,5.05,91.40,461.75,6
8418,5.06,86.60,437.85,6
8430,5.05,91.90,464.28,6
8442,5.05,91.20,460.74,6
8454,5.05,91.10,459.87,6
8467,5.06,86.50,437.34,6
8479,5.05,91.60,462.40,6
8491,5.05,91.60,462.76,6
8504,5.05,91.10,460.24,6
8516,5.06,87.10,440.38,6
8528,5.05,91.40,461.39,6
8541,5.05,91.50,461.89,6
8553,5.05,92.50,466.94,6
8565,5.06,86.50,437.34,6
8578,5.06,91.70,463.64,6
8590,5.05,91.60,462.76,6
8602,5.05,91.70,462.90,6
8615,5.06,86.60,437.85,6
8627,5.05,91.50,462.26,6
8639,5.05,91.50,461.89,6
8651,5.05,92.00,464.78,6
8664,5.06,87.30,441.39,6
8676,5.05,91.50,462.26,6
8688,5.05,91.70,462.90,6
8701,5.05,92.10,465.29,6
8713,5.06,86.00,435.16,6
8725,5.05,91.30,460.88,6
8738,5.05,91.40,461.39,6
8750,5.05,91.50,461.89,6
8762,5.06,87.70,443.41,6
8775,5.05,92.30,466.30,6
8787,5.05,91.50,461.89,6
8799,5.05,91.70,463.27,6
8811,5.06,88.10,445.43,6
8824,5.05,92.00,464.78,6
8836,5.05,91.20,460.74,6
8848,5.05,91.40,461.75,6
8861,5.06,87.50,442.40,6
8873,5.05,91.30,461.25,6
8885,5.05,92.00,464.78,6
8898,5.05,92.20,465.43,6
8910,5.06,86.90,439.71,6
8922,5.05,92.40,466.80,6
8935,5.05,91.80,463.41,6
8947,5.05,91.20,460.74,6
8959,5.06,86.60,437.85,6
8971,5.05,92.40,466.80,6
8984,5.05,91.50,462.26,6
8996,5.05,91.30,461.25,6
9008,5.06,87.40,441.89,6
9021,5.05,91.40,461.39,6
9033,5.05,91.60,462.76,6
9045,5.05,91.60,462.76,6
9058,5.06,88.40,446.95,6
9070,5.05,91.50,461.89,6
9082,5.05,92.30,465.93,6
9095,5.04,93.00,469.09,6
9107,5.06,88.50,447.46,6
9119,5.05,92.40,466.80,6
9131,5.05,91.80,463.41,6
9144,5.05,91.30,461.25,6
9156,5.06,86.50,437.34,6
9168,5.05,92.70,467.95,6
9181,5.05,91.80,463.41,6
9193,5.05,91.50,462.26,6
