Time(ms),Voltage(V),Current(mA),Power(mW),Mode
9650,5.17,-0.40,-2.07,1
9662,5.17,-0.20,-1.03,1
9674,5.17,-0.10,-0.52,1
9686,5.17,-0.40,-2.07,1
9698,5.17,-0.20,-1.03,1
9710,5.17,-0.30,-1.55,1
9722,5.17,-0.30,-1.55,1
9734,5.17,-0.30,-1.55,1
9747,5.17,-0.20,-1.03,1
9759,5.17,-0.30,-1.55,1
9772,5.17,-0.20,-1.03,1
9784,5.17,-0.50,-2.58,1
9796,5.17,-0.20,-1.03,1
9808,5.17,-0.30,-1.55,1
9820,5.17,-0.40,-2.07,1
9832,5.17,-0.20,-1.03,1
9844,5.17,-0.30,-1.55,1
9856,5.17,-0.30,-1.55,1
9868,5.17,-0.30,-1.55,1
9880,5.17,-0.30,-1.55,1
9892,5.17,-0.30,-1.55,1
9904,5.17,0.00,0.00,1
9916,5.17,-0.20,-1.03,1
9928,5.17,-0.10,-0.52,1
9940,5.17,-0.30,-1.55,1
9952,5.17,0.00,0.00,1
9964,5.17,-0.30,-1.55,1
9976,5.17,-0.20,-1.03,1
9988,5.17,-0.30,-1.55,1
10000,5.17,-0.50,-2.59,1
10012,5.17,-0.40,-2.07,1
10024,5.17,-0.10,-0.52,1
10036,5.17,-0.20,-1.03,1
10048,5.17,-0.20,-1.03,1
10060,5.17,-0.40,-2.07,1
10072,5.17,-0.30,-1.55,1
10084,5.17,-0.10,-0.52,1
10096,5.17,-0.10,-0.52,1
10108,5.17,-0.30,-1.55,1
10120,5.17,-0.20,-1.03,1
10132,5.17,-0.20,-1.03,1
10144,5.17,-0.20,-1.03,1
10156,5.17,-0.20,-1.03,1
10168,5.17,-0.10,-0.52,1
10180,5.17,-0.30,-1.55,1
10192,5.17,-0.50,-2.58,1
10204,5.17,-0.30,-1.55,1
10216,5.17,-0.30,-1.55,1
10228,5.17,-0.30,-1.55,1
10241,5.17,-0.30,-1.55,1
10253,5.17,-0.30,-1.55,1
10265,5.17,-0.20,-1.03,1
10277,5.17,-0.40,-2.07,1
10289,5.17,-0.30,-1.55,1
10301,5.17,-0.30,-1.55,1
10313,5.17,-0.20,-1.03,1
10325,5.17,-0.20,-1.03,1
10337,5.17,-0.20,-1.03,1
10349,5.17,-0.30,-1.55,1
10361,5.17,-0.40,-2.07,1
10373,5.17,-0.40,-2.07,1
10385,5.17,-0.30,-1.55,1
10397,5.17,-0.30,-1.55,1
10409,5.17,-0.10,-0.52,1
10421,5.17,-0.10,-0.52,1
10433,5.17,-0.30,-1.55,1
10445,5.17,0.00,0.00,1
10457,5.17,-0.10,-0.52,1
10469,5.17,-0.30,-1.55,1
10481,5.17,-0.30,-1.55,1
10493,5.17,-0.20,-1.03,1
10505,5.17,-0.30,-1.55,1
10517,5.17,-0.30,-1.55,1
10529,5.17,-0.50,-2.59,1
10541,5.17,-0.10,-0.52,1
10553,5.17,-0.20,-1.03,1
10565,5.17,-0.30,-1.55,1
10577,5.17,-0.40,-2.07,1
10589,5.17,-0.50,-2.58,1
10601,5.17,-0.20,-1.03,1
10613,5.17,-0.20,-1.03,1
10625,5.17,-0.30,-1.55,1
10637,5.17,-0.20,-1.03,1
10649,5.17,-0.10,-0.52,1
10661,5.17,-0.20,-1.03,1
10673,5.17,-0.20,-1.03,1
10686,5.17,-0.30,-1.55,1
10698,5.17,-0.30,-1.55,1
10710,5.17,-0.40,-2.07,1
10722,5.17,-0.30,-1.55,1
10734,5.17,0.00,0.00,1
10746,5.18,-0.30,-1.55,1
10758,5.17,-0.20,-1.03,1
10770,5.17,-0.30,-1.55,1
10782,5.17,0.00,0.00,1
10794,5.16,9.20,47.51,1
10806,5.16,12.80,66.05,1
10818,5.16,8.70,44.93,1
10830,5.14,27.70,142.49,1
10842,5.14,27.50,141.46,1
10854,5.14,27.50,141.46,1
10867,5.14,28.00,144.03,1
10879,5.14,27.70,142.49,1
10891,5.14,27.40,140.95,1
10903,5.14,27.80,142.89,1
10916,5.14,27.80,142.89,1
10928,5.14,27.40,140.84,1
10940,5.14,27.90,143.41,1
10953,5.14,27.80,142.89,1
10965,5.14,27.60,141.86,1
10977,5.14,27.80,142.89,1
10989,5.14,28.10,144.43,1
11002,5.14,27.50,141.35,1
11014,5.14,27.70,142.27,1
11026,5.14,28.10,144.32,1
11038,5.13,27.80,142.67,1
11051,5.14,27.90,143.29,1
11063,5.14,28.00,143.81,1
11075,5.14,27.10,139.19,1
11088,5.13,27.90,143.18,1
11100,5.14,25.00,128.50,1
11112,5.13,28.30,145.24,1
11124,5.13,29.30,150.37,1
11137,5.13,31.40,161.14,1
11149,5.13,31.80,163.20,1
11161,5.13,31.40,161.14,1
11174,5.14,29.00,148.94,1
11186,5.14,29.40,151.12,1
11198,5.13,32.50,166.66,0
11210,5.11,51.80,264.59,0
11223,4.87,249.10,1212.62,0
11235,5.07,84.20,427.06,0
11247,5.10,58.40,298.07,0
11260,5.10,56.40,287.87,0
11272,5.10,57.20,291.72,0
11284,5.10,59.20,301.92,0
11297,5.06,87.70,443.41,0
11309,5.08,81.30,412.68,0
11321,5.07,81.60,413.88,0
11334,5.08,81.60,414.20,0
11346,5.08,81.50,413.69,0
11358,5.08,79.90,405.89,0
11371,5.08,81.90,416.05,0
11383,5.08,82.80,420.62,0
11395,5.08,81.60,414.53,0
11407,5.08,82.90,420.80,0
11420,5.07,82.00,415.90,0
11432,5.08,81.40,413.19,0
11444,5.08,81.80,415.54,0
11457,5.08,82.10,416.74,0
11469,5.08,82.10,417.07,0
11481,5.08,82.60,419.28,0
11494,5.08,81.70,415.04,0
11506,5.08,82.20,417.25,0
11518,5.08,81.90,415.72,0
11531,5.08,81.50,413.69,0
11543,5.08,81.60,414.20,0
11555,5.08,82.00,416.23,0
11568,5.08,81.70,414.71,0
11580,5.08,81.70,414.71,0
11592,5.08,82.80,420.29,0
11605,5.08,82.80,420.62,0
11617,5.08,81.90,416.05,0
11629,5.08,81.50,413.69,0
11642,5.08,81.90,415.72,0
11654,5.08,82.00,416.56,0
11666,5.08,82.50,419.10,0
11678,5.08,81.70,415.04,0
11691,5.08,82.50,419.10,0
11703,5.08,82.10,417.07,0
11715,5.08,82.90,421.13,0
11728,5.08,81.90,416.38,0
11740,5.08,82.70,419.79,0
11752,5.08,82.10,417.07,0
11765,5.08,82.50,419.10,0
